model,MCC_mean,CI_low,CI_high,spans_zero
dose_threshold_baseline,0.41,0.3529,0.467,False
LogisticRegression,0.0332,-0.0741,0.1389,True
RandomForest,-0.1162,-0.1919,-0.0326,False
SVM_RBF,-0.1024,-0.1334,-0.0754,False
MLP,0.1651,0.0516,0.2787,False
XGBoost,-0.1038,-0.1822,-0.0088,False
